PMCID,Ebola Protein,Interaction,Host Protein
PMC4482208,GP,prevent,furin
PMC7322367,VP35,express,TF
PMC7322367,VP35,express,CD68
PMC7322367,GP,express,CD68
PMC7322367,VP35,activate,CD68
PMC7322367,VP35,ubiquitinate,IL6
PMC7322367,VP35,ubiquitinate,ISG15
PMC7322367,VP35,aggregate,ISG15
PMC7322367,VP35,form,CD68
PMC7322367,VP35,form,TF
PMC7322367,VP35,form,CD68
PMC7322367,GP,interact,TLR4
PMC7322367,GP,express,TLR4
PMC7322367,GP,interact,TF
PMC7322367,GP,express,TF
PMC4601610,GP,target,Tat
PMC4601610,GP,target,Tat
PMC4601610,GP,target,Tat
PMC4601610,GP,transport,NPC1
PMC4601610,GP,induce,CD4
PMC6990103,NP,form,CDR2
PMC11348656,NP,signal,Casp3
PMC6466262,GP,bind,GP2
PMC6466262,GP,interact,GP2
PMC6466262,GP,trigger,GP2
PMC6466262,GP,prevent,GP2
PMC5115602,GP,cleave,furin
PMC5115602,GP,cleave,GP2
PMC5115602,GP,bind,furin
PMC5115602,GP,interact,NPC1
PMC5115602,GP,interact,NPC1
PMC5115602,GP,interact,NPC1
PMC5115602,GP,enhance,NPC1
PMC5115602,GP,interact,NPC1
PMC5115602,GP,prevent,NPC1
PMC5115602,GP,disrupt,NPC1
PMC5115602,GP,enhance,NPC1
PMC5115602,GP,interact,NPC1
PMC5115602,GP,alter,NPC1
PMC5115602,GP,interact,NPC1
PMC5115602,GP,bind,NPC1
PMC5115602,GP,cleave,NPC1
PMC5115602,GP,interact,NPC1
PMC5115602,GP,cleave,NPC1
PMC5115602,GP,bind,NPC1
PMC5115602,GP,bind,NPC1
PMC5115602,GP,bind,NPC1
PMC5115602,GP,interact,NPC1
PMC5115602,GP,impact,NPC1
PMC5115602,GP,bind,NPC1
PMC5115602,GP,interact,NPC1
PMC5115602,GP,impact,NPC1
PMC5115602,GP,interact,NPC1
PMC5115602,GP,alter,NPC1
PMC5115602,GP,interact,NPC1
PMC5115602,GP,alter,NPC1
PMC5115602,GP,trigger,GP2
PMC5115602,GP,change,GP2
PMC5115602,GP,sequester,GP2
PMC5115602,L,inactivate,CD14
PMC10775387,GP,bind,NPC1
PMC10775387,GP,transport,NPC1
PMC9042921,VP35,associate,AKIP1
PMC9042921,VP35,activate,AKIP1
PMC9042921,VP35,express,AKIP1
PMC9042921,VP35,facilitate,AKIP1
PMC9042921,VP35,signal,AKIP1
PMC9042921,VP35,associate,AKIP1
PMC9042921,VP35,associate,AKIP1
PMC9042921,VP35,associate,AKIP1
PMC9042921,VP35,associate,AKIP1
PMC9042921,VP35,associate,AKIP1
PMC9042921,VP35,associate,AKIP1
PMC9042921,VP35,associate,AKIP1
PMC9042921,VP35,associate,AKIP1
PMC9042921,VP35,involve,AKIP1
PMC9042921,VP35,interact,AKIP1
PMC9042921,VP35,express,AKIP1
PMC9042921,VP35,signal,AKIP1
PMC9042921,VP35,interact,AKIP1
PMC9042921,VP35,associate,AKIP1
PMC9042921,VP35,mediate,AKIP1
PMC9042921,VP35,interact,PRKACA
PMC9042921,VP35,associate,PRKACA
PMC9042921,VP35,mediate,PRKACA
PMC9042921,VP35,interact,AKIP1
PMC9042921,VP35,associate,AKIP1
PMC9042921,VP35,mediate,AKIP1
PMC9042921,VP35,interact,PRKACA
PMC9042921,VP35,associate,PRKACA
PMC9042921,VP35,mediate,PRKACA
PMC9042921,VP35,interact,AKIP1
PMC9042921,VP35,associate,AKIP1
PMC9042921,VP35,mediate,AKIP1
PMC9042921,VP35,interact,PRKACA
PMC9042921,VP35,associate,PRKACA
PMC9042921,VP35,mediate,PRKACA
PMC9042921,VP35,associate,AKIP1
PMC9042921,VP35,associate,AKIP1
PMC9042921,VP35,interact,AKIP1
PMC9042921,VP35,interact,AKIP1
PMC9042921,VP35,bind,AKIP1
PMC9042921,VP35,interact,AKIP1
