Source,Relation,Target
ACTB,involved_in(Reactome),Signaling by Receptor Tyrosine Kinases
ACTB,involved_in(Reactome),RHO GTPase cycle
ACTB,involved_in(Reactome),RHOF GTPase cycle
ACTB,involved_in(Reactome),Signaling downstream of RAS mutants
ACTB,involved_in(Reactome),Signaling by RAF1 mutants
ACTB,involved_in(Reactome),Leishmania infection
ACTB,involved_in(Reactome),Sensory processing of sound
ACTB,involved_in(Reactome),Sensory processing of sound by inner hair cells of the cochlea
ACTB,involved_in(Reactome),Sensory processing of sound by outer hair cells of the cochlea
ACTB,involved_in(Reactome),Parasite infection
ACTB,involved_in(Reactome),Leishmania phagocytosis
ACTB,involved_in(Reactome),FCGR3A-mediated phagocytosis
ACTB,involved_in(Reactome),Nervous system development
ACTB,involved_in(Reactome),Sensory Perception
ACTB,involved_in(Reactome),"Signaling by Rho GTPases, Miro GTPases and RHOBTB3"
ACTB,involved_in(Reactome),MITF-M-regulated melanocyte development
ACTB,involved_in(Reactome),Parasitic Infection Pathways
ACTB,involved_in(Reactome),Regulation of MITF-M-dependent genes involved in pigmentation
ACTB,involved_in(Reactome),Factors involved in megakaryocyte development and platelet production
ACTB,involved_in(Reactome),Regulation of endogenous retroelements
ACTB,involved_in(Reactome),Regulation of endogenous retroelements by Piwi-interacting RNAs (piRNAs)
ACTB,involved_in(Reactome),MITF-M-dependent gene expression
ACTB,involved_in(Reactome),Formation of the dystrophin-glycoprotein complex (DGC)
ACTB,involved_in(Reactome),ATP-dependent chromatin remodelers
ACTB,involved_in(Reactome),SWI/SNF chromatin remodelers
ACTB,involved_in(Reactome),Formation of the canonical BAF (cBAF) complex
ACTB,involved_in(Reactome),Formation of the polybromo-BAF (pBAF) complex
ACTB,involved_in(Reactome),Formation of the embryonic stem cell BAF (esBAF) complex
ACTB,involved_in(Reactome),Formation of the non-canonical BAF (ncBAF) complex
ACTB,involved_in(Reactome),Formation of neuronal progenitor and neuronal BAF (npBAF and nBAF)
ACTG1,involved_in(Reactome),Developmental Biology
ACTG1,involved_in(Reactome),Translocation of SLC2A4 (GLUT4) to the plasma membrane
ACTG1,involved_in(Reactome),Extracellular matrix organization
ACTG1,involved_in(Reactome),Cell-Cell communication
ACTG1,involved_in(Reactome),Gap junction trafficking and regulation
ACTG1,involved_in(Reactome),Signal Transduction
ACTG1,involved_in(Reactome),Disease
ACTG1,involved_in(Reactome),Innate Immune System
ACTG1,involved_in(Reactome),Immune System
