DrugBankID,Name,Type,Groups,Targets,Pathways,Synonyms
,Formic acid,,,,,
,Geranyl Diphosphate,,,,,
,Mesoheme,,,,,
,Flavin adenine dinucleotide,,,,,
,Palmitic Acid,,,,,
,Pyrophosphoric acid,,,,,
,Cholesterol,,,,,
,ISOPENTENYL PYROPHOSPHATE,,,,,
,Farnesyl diphosphate,,,,,
,Cholecalciferol,,,,,
,ATP,,,,,
,Ibandronate,,,,,
,Magnesium cation,,,,,
,Iron,,,,,
,Dimethylallyl Diphosphate,,,,,
,Formic acid,,,,,
,Geranyl Diphosphate,,,,,
,Mesoheme,,,,,
,Flavin adenine dinucleotide,,,,,
,Palmitic Acid,,,,,
,Pyrophosphoric acid,,,,,
,Cholesterol,,,,,
,ISOPENTENYL PYROPHOSPHATE,,,,,
,Farnesyl diphosphate,,,,,
,Cholecalciferol,,,,,
,ATP,,,,,
,Alendronic acid,,,,,
,Magnesium cation,,,,,
,Iron,,,,,
,Dimethylallyl Diphosphate,,,,,
,Formic acid,,,,,
,Geranyl Diphosphate,,,,,
,Mesoheme,,,,,
,Flavin adenine dinucleotide,,,,,
,Palmitic Acid,,,,,
,Pyrophosphoric acid,,,,,
,Cholesterol,,,,,
,ISOPENTENYL PYROPHOSPHATE,,,,,
,Farnesyl diphosphate,,,,,
,Cholecalciferol,,,,,
,ATP,,,,,
,Risedronic acid,,,,,
,Magnesium cation,,,,,
,Iron,,,,,
,Dimethylallyl Diphosphate,,,,,
,Formic acid,,,,,
,Geranyl Diphosphate,,,,,
,Mesoheme,,,,,
,Flavin adenine dinucleotide,,,,,
,Palmitic Acid,,,,,
,Pyrophosphoric acid,,,,,
,Cholesterol,,,,,
,ISOPENTENYL PYROPHOSPHATE,,,,,
,Farnesyl diphosphate,,,,,
,Cholecalciferol,,,,,
,ATP,,,,,
,Magnesium cation,,,,,
,Iron,,,,,
,Dimethylallyl Diphosphate,,,,,
,Formic acid,,,,,
,Geranyl Diphosphate,,,,,
,Mesoheme,,,,,
,Flavin adenine dinucleotide,,,,,
,Palmitic Acid,,,,,
,Pyrophosphoric acid,,,,,
,Cholesterol,,,,,
,ISOPENTENYL PYROPHOSPHATE,,,,,
,Farnesyl diphosphate,,,,,
,Cholecalciferol,,,,,
,ATP,,,,,
,Magnesium cation,,,,,
,Iron,,,,,
,Dimethylallyl Diphosphate,,,,,
,Formic acid,,,,,
,Geranyl Diphosphate,,,,,
,Mesoheme,,,,,
,Flavin adenine dinucleotide,,,,,
,Palmitic Acid,,,,,
,Pyrophosphoric acid,,,,,
,Cholesterol,,,,,
,ISOPENTENYL PYROPHOSPHATE,,,,,
,Farnesyl diphosphate,,,,,
,Cholecalciferol,,,,,
,ATP,,,,,
,Magnesium cation,,,,,
,Iron,,,,,
,Dimethylallyl Diphosphate,,,,,
,Formic acid,,,,,
,Geranyl Diphosphate,,,,,
,Mesoheme,,,,,
,Flavin adenine dinucleotide,,,,,
,Palmitic Acid,,,,,
,Pyrophosphoric acid,,,,,
,Cholesterol,,,,,
,ISOPENTENYL PYROPHOSPHATE,,,,,
,Farnesyl diphosphate,,,,,
,Cholecalciferol,,,,,
,ATP,,,,,
,Magnesium cation,,,,,
,Iron,,,,,
,Dimethylallyl Diphosphate,,,,,
,Formic acid,,,,,
,Geranyl Diphosphate,,,,,
,Mesoheme,,,,,
,Flavin adenine dinucleotide,,,,,
,Palmitic Acid,,,,,
,Pyrophosphoric acid,,,,,
,Cholesterol,,,,,
,ISOPENTENYL PYROPHOSPHATE,,,,,
,Farnesyl diphosphate,,,,,
,Cholecalciferol,,,,,
,ATP,,,,,
,Magnesium cation,,,,,
,Iron,,,,,
,Dimethylallyl Diphosphate,,,,,
,Formic acid,,,,,
,Geranyl Diphosphate,,,,,
,Mesoheme,,,,,
,Flavin adenine dinucleotide,,,,,
,Palmitic Acid,,,,,
,Pyrophosphoric acid,,,,,
,Cholesterol,,,,,
,ISOPENTENYL PYROPHOSPHATE,,,,,
,Farnesyl diphosphate,,,,,
DB00169,Cholecalciferol,small molecule,approved|nutraceutical,Vitamin D3 receptor,"Lovastatin Action Pathway|Cerivastatin Action Pathway|Hypercholesterolemia|Chondrodysplasia Punctata II, X-Linked Dominant (CDPX2)|Smith-Lemli-Opitz Syndrome (SLOS)|Mevalonic Aciduria|Simvastatin Action Pathway|Pravastatin Action Pathway|Rosuvastatin Action Pathway|Zoledronate Action Pathway|Pamidronate Action Pathway|Fluvastatin Action Pathway|Lysosomal Acid Lipase Deficiency (Wolman Disease)|Cholesteryl Ester Storage Disease|Steroid Biosynthesis|Ibandronate Action Pathway|Alendronate Action Pathway|Risedronate Action Pathway|Atorvastatin Action Pathway|Desmosterolosis|CHILD Syndrome|Hyper-IgD Syndrome|Wolman Disease","(+)-vitamin D3|(3β,5Z,7E)-9,10-secocholesta-5,7,10(19)-trien-3-ol|(5Z,7E)-(3S)-9,10-secocholesta-5,7,10(19)-trien-3-ol|Activated 7-dehydrocholesterol|Calciol|CC|Cholecalciferol|Cholecalciferolum|Colecalciferol|Colecalciferolum|Oleovitamin D3|Vitamin D-3|Vitamin D3"
DB00170,Menadione,small molecule,approved|nutraceutical,Coagulation factor IX|NAD(P)H dehydrogenase [quinone] 1|Osteocalcin|Prothrombin|Ribosyldihydronicotinamide dehydrogenase [quinone]|Vitamin K epoxide reductase complex subunit 1|Vitamin K epoxide reductase complex subunit 1-like protein 1|Vitamin K-dependent gamma-carboxylase|Vitamin K-dependent protein C|Vitamin K-dependent protein S,,"2-Methyl-1,4-Naphthalenedione|2-Methyl-1,4-naphthochinon|2-Methyl-1,4-naphthoquinone|Menadione|Vitamin K 3|Vitamin K3"
,Pyridoxal phosphate,,,,,
,Pyruvic acid,,,,,
,Arginine,,,,,
,Aspartic acid,,,,,
,Ornithine,,,,,
,L-Glutamine,,,,,
,Adenosine phosphate,,,,,
,Glutamic acid,,,,,
,Citrulline,,,,,
,NADH,,,,,
,Alanine,,,,,
,ATP,,,,,
,Calcium,,,,,
,Urea,,,,,
,Pyrophosphoric acid,,,,,
,Maleic acid,,,,,
,Pyridoxal phosphate,,,,,
,Pyruvic acid,,,,,
,Arginine,,,,,
,Aspartic acid,,,,,
,Ornithine,,,,,
,L-Glutamine,,,,,
,Adenosine phosphate,,,,,
,Glutamic acid,,,,,
,Citrulline,,,,,
,NADH,,,,,
,Alanine,,,,,
,ATP,,,,,
,Calcium,,,,,
,Urea,,,,,
,Pyrophosphoric acid,,,,,
,Maleic acid,,,,,
,Pyridoxal phosphate,,,,,
,Tetrahydrofolic acid,,,,,
,Ademetionine,,,,,
,Pyruvic acid,,,,,
,Arginine,,,,,
,Adenosine phosphate,,,,,
,Serine,,,,,
,Methionine,,,,,
,Glutamic acid,,,,,
,Glycine,,,,,
,Creatine,,,,,
,Cysteine,,,,,
,NADH,,,,,
,Alanine,,,,,
,ATP,,,,,
,Aminolevulinic acid,,,,,
,Magnesium cation,,,,,
,Zinc,,,,,
,"N,N-dimethylglycine",,,,,
,Glycocyamine,,,,,
,3-Hydroxypyruvic Acid,,,,,
,Orotidylic acid,,,,,
,Flavin adenine dinucleotide,,,,,
,Pyruvaldehyde,,,,,
,Formaldehyde,,,,,
,2-Amino-3-Ketobutyric Acid,,,,,
,D-Serine,,,,,
,Pyrophosphoric acid,,,,,
,Glyoxylic acid,,,,,
,Dexfosfoserine,,,,,
,2-Oxobutanoic Acid,,,,,
,Pyridoxal phosphate,,,,,
,Tetrahydrofolic acid,,,,,
,Histidine,,,,,
,Pyruvic acid,,,,,
,Biotin,,,,,
,Aspartic acid,,,,,
,L-Glutamine,,,,,
,Adenosine phosphate,,,,,
,Serine,,,,,
,Glutamic acid,,,,,
,Glycine,,,,,
,NADH,,,,,
,ATP,,,,,
,Asparagine,,,,,
,Magnesium cation,,,,,
,trans-urocanic acid,,,,,
,Flavin adenine dinucleotide,,,,,
,Pyrophosphoric acid,,,,,
,ATP,,,,,
,Calcium,,,,,
,Magnesium cation,,,,,
,Iron,,,,,
,"1D-myo-inositol 1,3,4-trisphosphate",,,,,
,Pyrophosphoric acid,,,,,
,Inositol,,,,,
,Pyridoxal phosphate,,,,,
,Biotin,,,,,
,Adenosine phosphate,,,,,
,Glutamic acid,,,,,
,NADH,,,,,
,Valine,,,,,
,ATP,,,,,
,beta-Alanine,,,,,
,Flavin adenine dinucleotide,,,,,
,Hydracrylic acid,,,,,
,Propanoic acid,,,,,
,Pyrophosphoric acid,,,,,
,Methylmalonic Acid,,,,,
,Malonyl-CoA,,,,,
,2-Oxobutanoic Acid,,,,,
,Pyridoxal phosphate,,,,,
,Ademetionine,,,,,
,Arginine,,,,,
,Aspartic acid,,,,,
,Ornithine,,,,,
,Adenosine phosphate,,,,,
,Succinic acid,,,,,
,Glutamic acid,,,,,
,Glycine,,,,,
,Creatine,,,,,
,Citrulline,,,,,
,NADH,,,,,
,ATP,,,,,
,Proline,,,,,
,Sapropterin,,,,,
,Nitric Oxide,,,,,
,Mesoheme,,,,,
,Glycocyamine,,,,,
,"3,4-Dihydro-2h-Pyrrolium-5-Carboxylate",,,,,
,N(5)-[(hydroxyamino)(imino)methyl]-L-ornithine,,,,,
,Flavin adenine dinucleotide,,,,,
,Flavin mononucleotide,,,,,
,Urea,,,,,
,Pyrophosphoric acid,,,,,
,Maleic acid,,,,,
,4-Carboxy-4-Aminobutanal,,,,,
,Pyridoxal phosphate,,,,,
,Adenosine phosphate,,,,,
,Serine,,,,,
,Alanine,,,,,
,ATP,,,,,
,Adenosine,,,,,
,Selenocysteine,,,,,
,Pyrophosphoric acid,,,,,
,2-Oxobutanoic Acid,,,,,
,Adenosine phosphate,,,,,
,ATP,,,,,
,Magnesium cation,,,,,
,Iron,,,,,
,5-O-phosphono-alpha-D-ribofuranosyl diphosphate,,,,,
,D-glyceraldehyde 3-phosphate,,,,,
,Ribose-1-Phosphate,,,,,
,Ribulose-5-Phosphate,,,,,
,Dihydroxyacetone phosphate,,,,,
,Gluconolactone,,,,,
,NADH,,,,,
,ATP,,,,,
,sn-glycerol 3-phosphate,,,,,
,Flavin adenine dinucleotide,,,,,
,Palmitic Acid,,,,,
,Dihydroxyacetone phosphate,,,,,
,NADH,,,,,
,ATP,,,,,
,Magnesium cation,,,,,
,Iron,,,,,
,Zinc,,,,,
,Sorbitol,,,,,
,Uridine diphosphate glucose,,,,,
,Alpha-D-Galactose-1-Phosphate,,,,,
,Uridine-5'-Diphosphate,,,,,
,Pyrophosphoric acid,,,,,
,Lactose,,,,,
,Inositol,,,,,
,Pyridoxal phosphate,,,,,
,Tetrahydrofolic acid,,,,,
,Histidine,,,,,
,Ademetionine,,,,,
,Adenosine phosphate,,,,,
,Glutamic acid,,,,,
,NADH,,,,,
,ATP,,,,,
,Calcium,,,,,
,Zinc,,,,,
,trans-urocanic acid,,,,,
,beta-Alanine,,,,,
,Flavin adenine dinucleotide,,,,,
,1-Methylhistidine,,,,,
,Pyrophosphoric acid,,,,,
,L-Glutamine,,,,,
,ATP,,,,,
,Calcium,,,,,
,Magnesium cation,,,,,
,Iron,,,,,
,Zinc,,,,,
,5-O-phosphono-alpha-D-ribofuranosyl diphosphate,,,,,
,Thymidine monophosphate,,,,,
,Dihydrouracil,,,,,
,Dihydroorotic Acid,,,,,
,Orotic acid,,,,,
,Cytidine-5'-Triphosphate,,,,,
,Uridine,,,,,
,Orotidylic acid,,,,,
,Ribose-1-Phosphate,,,,,
,beta-Alanine,,,,,
,Flavin adenine dinucleotide,,,,,
,Flavin mononucleotide,,,,,
,Uracil,,,,,
,Uridine-5'-Diphosphate,,,,,
,Thymine,,,,,
,Uridine monophosphate,,,,,
,Deoxyuridine monophosphate,,,,,
,Pyrophosphoric acid,,,,,
,N-Carbamoylaspartic acid,,,,,
,Thymidine,,,,,
,Tetrahydrofolic acid,,,,,
,Aspartic acid,,,,,
,L-Glutamine,,,,,
,Adenosine phosphate,,,,,
,Glutamic acid,,,,,
,Glycine,,,,,
,NADH,,,,,
,ATP,,,,,
,Adenine,,,,,
,Adenosine,,,,,
,Potassium cation,,,,,
,Calcium,,,,,
,Magnesium cation,,,,,
,Zinc,,,,,
,5-O-phosphono-alpha-D-ribofuranosyl diphosphate,,,,,
,AICA ribonucleotide,,,,,
,Guanosine-5'-Monophosphate,,,,,
,Xanthine,,,,,
,Guanine,,,,,
,Cyclic adenosine monophosphate,,,,,
,Mesoheme,,,,,
,Guanosine,,,,,
,Ribose-1-Phosphate,,,,,
,Flavin adenine dinucleotide,,,,,
,Hypoxanthine,,,,,
,Pyrophosphoric acid,,,,,
,Maleic acid,,,,,
,Inosine,,,,,
,2'-Deoxyguanosine-5'-Monophosphate,,,,,
,Adenosine phosphate,,,,,
,NADH,,,,,
,ATP,,,,,
,Levocarnitine,,,,,
,Magnesium cation,,,,,
,Flavin adenine dinucleotide,,,,,
,Palmitic Acid,,,,,
,Pyrophosphoric acid,,,,,
,Pyruvic acid,,,,,
,Biotin,,,,,
,Succinic acid,,,,,
,NADH,,,,,
,ATP,,,,,
,Magnesium cation,,,,,
,Flavin adenine dinucleotide,,,,,
,Citric acid,,,,,
,Maleic acid,,,,,
,Pyridoxal phosphate,,,,,
,NADH,,,,,
,ATP,,,,,
,Calcium,,,,,
,Magnesium cation,,,,,
,Uridine diphosphate glucose,,,,,
,Maltose,,,,,
,Uridine-5'-Diphosphate,,,,,
,Pyrophosphoric acid,,,,,
,Pyruvic acid,,,,,
,Biotin,,,,,
,Adenosine phosphate,,,,,
,Glutathione,,,,,
,NADH,,,,,
,ATP,,,,,
,Potassium cation,,,,,
,Magnesium cation,,,,,
,Zinc,,,,,
,Phosphoenolpyruvate,,,,,
,Propylene glycol,,,,,
,Acetylphosphate,,,,,
,D-Lactic acid,,,,,
,Flavin adenine dinucleotide,,,,,
,Acetic acid,,,,,
,Pyruvaldehyde,,,,,
,Lactaldehyde,,,,,
,Pyrophosphoric acid,,,,,
,Malonyl-CoA,,,,,
,Pyridoxal phosphate,,,,,
,Pyruvic acid,,,,,
,Biotin,,,,,
,Aspartic acid,,,,,
,L-Glutamine,,,,,
,Adenosine phosphate,,,,,
,Succinic acid,,,,,
,Glutamic acid,,,,,
,Glutathione,,,,,
,Glycine,,,,,
,Cysteine,,,,,
,NADH,,,,,
,Alanine,,,,,
,ATP,,,,,
,Magnesium cation,,,,,
,Zinc,,,,,
,5-O-phosphono-alpha-D-ribofuranosyl diphosphate,,,,,
,Guanosine-5'-Monophosphate,,,,,
,gamma-Aminobutyric acid,,,,,
,Flavin adenine dinucleotide,,,,,
,gamma-Glutamylcysteine,,,,,
,Pyrophosphoric acid,,,,,
,Adenosine phosphate,,,,,
,Succinic acid,,,,,
,NADH,,,,,
,ATP,,,,,
,Magnesium cation,,,,,
,Acetoacetic acid,,,,,
,Flavin adenine dinucleotide,,,,,
,Butyric Acid,,,,,
,Pyrophosphoric acid,,,,,
,Adenosine phosphate,,,,,
,Thiamine,,,,,
,ATP,,,,,
,Thiamine(1+) monophosphate,,,,,
,Cholecalciferol,,,,,
,ATP,,,,,
,Simvastatin,,,,,
,Magnesium cation,,,,,
,Iron,,,,,
,Dimethylallyl Diphosphate,,,,,
,Formic acid,,,,,
,Geranyl Diphosphate,,,,,
,Mesoheme,,,,,
,Flavin adenine dinucleotide,,,,,
,Palmitic Acid,,,,,
,Pyrophosphoric acid,,,,,
,Cholesterol,,,,,
,ISOPENTENYL PYROPHOSPHATE,,,,,
,Farnesyl diphosphate,,,,,
,Cholecalciferol,,,,,
,ATP,,,,,
,Pravastatin,,,,,
,Magnesium cation,,,,,
,Iron,,,,,
,Dimethylallyl Diphosphate,,,,,
,Formic acid,,,,,
,Geranyl Diphosphate,,,,,
,Mesoheme,,,,,
,Flavin adenine dinucleotide,,,,,
,Palmitic Acid,,,,,
,Pyrophosphoric acid,,,,,
,Cholesterol,,,,,
,ISOPENTENYL PYROPHOSPHATE,,,,,
,Farnesyl diphosphate,,,,,
,Cholecalciferol,,,,,
,ATP,,,,,
,Rosuvastatin,,,,,
,Magnesium cation,,,,,
,Iron,,,,,
,Dimethylallyl Diphosphate,,,,,
,Formic acid,,,,,
,Geranyl Diphosphate,,,,,
,Mesoheme,,,,,
,Flavin adenine dinucleotide,,,,,
,Palmitic Acid,,,,,
,Pyrophosphoric acid,,,,,
,Cholesterol,,,,,
,ISOPENTENYL PYROPHOSPHATE,,,,,
,Farnesyl diphosphate,,,,,
,Cholecalciferol,,,,,
,ATP,,,,,
,Zoledronic acid,,,,,
,Magnesium cation,,,,,
,Iron,,,,,
,Dimethylallyl Diphosphate,,,,,
,Formic acid,,,,,
,Geranyl Diphosphate,,,,,
,Mesoheme,,,,,
,Flavin adenine dinucleotide,,,,,
,Palmitic Acid,,,,,
,Pyrophosphoric acid,,,,,
,Cholesterol,,,,,
,ISOPENTENYL PYROPHOSPHATE,,,,,
,Farnesyl diphosphate,,,,,
,Cholecalciferol,,,,,
,ATP,,,,,
,Pamidronic acid,,,,,
,Magnesium cation,,,,,
,Iron,,,,,
,Dimethylallyl Diphosphate,,,,,
,Formic acid,,,,,
,Geranyl Diphosphate,,,,,
,Mesoheme,,,,,
,Flavin adenine dinucleotide,,,,,
,Palmitic Acid,,,,,
,Pyrophosphoric acid,,,,,
,Cholesterol,,,,,
,ISOPENTENYL PYROPHOSPHATE,,,,,
,Farnesyl diphosphate,,,,,
,Cholecalciferol,,,,,
,ATP,,,,,
,Fluvastatin,,,,,
,Magnesium cation,,,,,
,Iron,,,,,
,Dimethylallyl Diphosphate,,,,,
,Formic acid,,,,,
,Geranyl Diphosphate,,,,,
,Mesoheme,,,,,
,Flavin adenine dinucleotide,,,,,
,Palmitic Acid,,,,,
,Pyrophosphoric acid,,,,,
,Cholesterol,,,,,
,ISOPENTENYL PYROPHOSPHATE,,,,,
,Farnesyl diphosphate,,,,,
,Tetrahydrofolic acid,,,,,
,Ademetionine,,,,,
,Choline,,,,,
,Methionine,,,,,
,NADH,,,,,
,ATP,,,,,
,Adenosine,,,,,
,Potassium cation,,,,,
,Magnesium cation,,,,,
,Zinc,,,,,
,"N,N-dimethylglycine",,,,,
,Flavin adenine dinucleotide,,,,,
,Pyrophosphoric acid,,,,,
,Betaine aldehyde,,,,,
,Pyruvic acid,,,,,
,Biotin,,,,,
,NADH,,,,,
,ATP,,,,,
,Magnesium cation,,,,,
,2-phospho-D-glyceric acid,,,,,
,Phosphoenolpyruvate,,,,,
,D-glyceraldehyde 3-phosphate,,,,,
,Dihydroxyacetone phosphate,,,,,
,Pyridoxal phosphate,,,,,
,Biotin,,,,,
,Succinic acid,,,,,
,Glutamic acid,,,,,
,Pyridoxal,,,,,
,Leucine,,,,,
,NADH,,,,,
,Valine,,,,,
,Isoleucine,,,,,
,ATP,,,,,
,Acetoacetic acid,,,,,
,Flavin adenine dinucleotide,,,,,
,alpha-Ketoisocaproic acid,,,,,
,alpha-Ketoisovalerate,,,,,
,Methylmalonic Acid,,,,,
DB00171,ATP,small molecule,investigational|nutraceutical,"5'-AMP-activated protein kinase catalytic subunit alpha-1|ADP/ATP translocase 1|AFG3-like protein 2|ALK tyrosine kinase receptor|ATP-binding cassette sub-family A member 1|ATP-binding cassette sub-family C member 8|ATP-binding cassette sub-family C member 9|ATP-binding cassette sub-family G member 1|ATPase ASNA1|Acetyl-coenzyme A synthetase 2-like, mitochondrial|Acetyl-coenzyme A synthetase, cytoplasmic|Activated CDC42 kinase 1|Activin receptor type-1|Activin receptor type-1B|Adenylate cyclase type 1|Anti-Muellerian hormone type-2 receptor|Apoptotic protease-activating factor 1|Argininosuccinate synthase|Asparagine synthetase [glutamine-hydrolyzing]|Beta-adrenergic receptor kinase 1|Beta-adrenergic receptor kinase 2|Bile salt export pump|Canalicular multispecific organic anion transporter 1|Casein kinase II subunit alpha|Casein kinase II subunit beta|Cyclin-dependent kinase 15|Cystic fibrosis transmembrane conductance regulator|Cytosolic purine 5'-nucleotidase|Long-chain-fatty-acid--CoA ligase 1|Multidrug resistance-associated protein 1|Multidrug resistance-associated protein 4|Multidrug resistance-associated protein 6|NEDD8-activating enzyme E1 regulatory subunit|P-glycoprotein 1|P2Y purinoceptor 11|Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform|RAC-alpha serine/threonine-protein kinase|Serine/threonine-protein kinase A-Raf|Serine/threonine-protein kinase receptor R3|Serine/threonine-protein phosphatase 5|Tyrosine-protein kinase ABL1|Tyrosine-protein kinase ABL2",Carbamoyl Phosphate Synthetase Deficiency|Argininosuccinic Aciduria|Glycine and Serine Metabolism|Ammonia Recycling|Inositol Metabolism|Propanoate Metabolism|Arginine and Proline Metabolism|Selenoamino Acid Metabolism|Pentose Phosphate Pathway|Glycerolipid Metabolism|Galactose Metabolism|Histidine Metabolism|Pyrimidine Metabolism|Purine Metabolism|Fatty Acid Metabolism|Citric Acid Cycle|Starch and Sucrose Metabolism|Pyruvate Metabolism|Glutamate Metabolism|Butyrate Metabolism|Thiamine Metabolism|Simvastatin Action Pathway|Pravastatin Action Pathway|Rosuvastatin Action Pathway|Zoledronate Action Pathway|Pamidronate Action Pathway|Fluvastatin Action Pathway|Betaine Metabolism|Gluconeogenesis|2-Methyl-3-hydroxybutryl-CoA Dehydrogenase Deficiency,Adenosine 5'-triphosphate|Adenosine triphosphate|Adenosine-5'-triphosphate|ATP
,Pyridoxal phosphate,,,,,
,Ademetionine,,,,,
,Arginine,,,,,
,Aspartic acid,,,,,
,Ornithine,,,,,
,Adenosine phosphate,,,,,
,Succinic acid,,,,,
,Glutamic acid,,,,,
,Glycine,,,,,
,Creatine,,,,,
,Citrulline,,,,,
,NADH,,,,,
,ATP,,,,,
,Proline,,,,,
,Sapropterin,,,,,
,Nitric Oxide,,,,,
,Mesoheme,,,,,
,Glycocyamine,,,,,
,"3,4-Dihydro-2h-Pyrrolium-5-Carboxylate",,,,,
,N(5)-[(hydroxyamino)(imino)methyl]-L-ornithine,,,,,
,Flavin adenine dinucleotide,,,,,
,Flavin mononucleotide,,,,,
,Urea,,,,,
,Pyrophosphoric acid,,,,,
,Maleic acid,,,,,
,4-Carboxy-4-Aminobutanal,,,,,
,Pyridoxal phosphate,,,,,
,Ademetionine,,,,,
,Arginine,,,,,
,Aspartic acid,,,,,
,Ornithine,,,,,
,Adenosine phosphate,,,,,
,Succinic acid,,,,,
,Glutamic acid,,,,,
,Glycine,,,,,
,Creatine,,,,,
,Citrulline,,,,,
,NADH,,,,,
,ATP,,,,,
,Proline,,,,,
,Sapropterin,,,,,
,Nitric Oxide,,,,,
,Mesoheme,,,,,
,Glycocyamine,,,,,
,"3,4-Dihydro-2h-Pyrrolium-5-Carboxylate",,,,,
,N(5)-[(hydroxyamino)(imino)methyl]-L-ornithine,,,,,
,Flavin adenine dinucleotide,,,,,
,Flavin mononucleotide,,,,,
,Urea,,,,,
,Pyrophosphoric acid,,,,,
,Maleic acid,,,,,
,4-Carboxy-4-Aminobutanal,,,,,
,Histidine,,,,,
,Adenosine phosphate,,,,,
,Methionine,,,,,
,Leucine,,,,,
,Threonine,,,,,
,Alanine,,,,,
,Valine,,,,,
,Isoleucine,,,,,
,ATP,,,,,
,Proline,,,,,
,Asparagine,,,,,
,Clarithromycin,,,,,
,Guanosine-5'-Monophosphate,,,,,
,Cytidine-5'-Triphosphate,,,,,
,Uridine monophosphate,,,,,
,D-Serine,,,,,
,Pyrophosphoric acid,,,,,
,Histidine,,,,,
,Adenosine phosphate,,,,,
,Methionine,,,,,
,Leucine,,,,,
,Threonine,,,,,
,Alanine,,,,,
,Valine,,,,,
,Isoleucine,,,,,
,ATP,,,,,
,Proline,,,,,
,Asparagine,,,,,
,Roxithromycin,,,,,
,Guanosine-5'-Monophosphate,,,,,
,Cytidine-5'-Triphosphate,,,,,
,Uridine monophosphate,,,,,
,D-Serine,,,,,
,Pyrophosphoric acid,,,,,
,Histidine,,,,,
,Adenosine phosphate,,,,,
,Methionine,,,,,
,Leucine,,,,,
,Threonine,,,,,
,Alanine,,,,,
,Valine,,,,,
,Isoleucine,,,,,
,ATP,,,,,
,Proline,,,,,
,Asparagine,,,,,
,Gentamicin,,,,,
,Guanosine-5'-Monophosphate,,,,,
,Cytidine-5'-Triphosphate,,,,,
,Uridine monophosphate,,,,,
,D-Serine,,,,,
,Pyrophosphoric acid,,,,,
,Histidine,,,,,
,Adenosine phosphate,,,,,
,Methionine,,,,,
,Leucine,,,,,
,Threonine,,,,,
,Alanine,,,,,
,Valine,,,,,
,Isoleucine,,,,,
,ATP,,,,,
,Proline,,,,,
,Asparagine,,,,,
,Oxytetracycline,,,,,
,Guanosine-5'-Monophosphate,,,,,
,Cytidine-5'-Triphosphate,,,,,
,Uridine monophosphate,,,,,
,D-Serine,,,,,
,Pyrophosphoric acid,,,,,
,Histidine,,,,,
,Adenosine phosphate,,,,,
,Methionine,,,,,
,Leucine,,,,,
,Threonine,,,,,
,Alanine,,,,,
,Valine,,,,,
,Isoleucine,,,,,
,ATP,,,,,
,Proline,,,,,
,Asparagine,,,,,
,Tetracycline,,,,,
,Guanosine-5'-Monophosphate,,,,,
,Cytidine-5'-Triphosphate,,,,,
,Uridine monophosphate,,,,,
,D-Serine,,,,,
,Pyrophosphoric acid,,,,,
,Pyridoxal phosphate,,,,,
,Ademetionine,,,,,
,Arginine,,,,,
,Aspartic acid,,,,,
,Ornithine,,,,,
,Adenosine phosphate,,,,,
,Succinic acid,,,,,
,Glutamic acid,,,,,
,Glycine,,,,,
,Creatine,,,,,
,Citrulline,,,,,
,NADH,,,,,
,ATP,,,,,
,Proline,,,,,
,Sapropterin,,,,,
,Nitric Oxide,,,,,
,Mesoheme,,,,,
,Glycocyamine,,,,,
,"3,4-Dihydro-2h-Pyrrolium-5-Carboxylate",,,,,
,N(5)-[(hydroxyamino)(imino)methyl]-L-ornithine,,,,,
,Flavin adenine dinucleotide,,,,,
,Flavin mononucleotide,,,,,
,Urea,,,,,
,Pyrophosphoric acid,,,,,
,Maleic acid,,,,,
,4-Carboxy-4-Aminobutanal,,,,,
,Pyridoxal phosphate,,,,,
,Ademetionine,,,,,
,Arginine,,,,,
,Aspartic acid,,,,,
,Ornithine,,,,,
,Adenosine phosphate,,,,,
,Succinic acid,,,,,
,Glutamic acid,,,,,
,Glycine,,,,,
,Creatine,,,,,
,Citrulline,,,,,
,NADH,,,,,
,ATP,,,,,
,Proline,,,,,
,Sapropterin,,,,,
,Nitric Oxide,,,,,
,Mesoheme,,,,,
,Glycocyamine,,,,,
,"3,4-Dihydro-2h-Pyrrolium-5-Carboxylate",,,,,
,N(5)-[(hydroxyamino)(imino)methyl]-L-ornithine,,,,,
,Flavin adenine dinucleotide,,,,,
,Flavin mononucleotide,,,,,
,Urea,,,,,
,Pyrophosphoric acid,,,,,
,Maleic acid,,,,,
,4-Carboxy-4-Aminobutanal,,,,,
,Pyridoxal phosphate,,,,,
,Ademetionine,,,,,
,Arginine,,,,,
,Aspartic acid,,,,,
,Ornithine,,,,,
,Adenosine phosphate,,,,,
,Succinic acid,,,,,
,Glutamic acid,,,,,
,Glycine,,,,,
,Creatine,,,,,
,Citrulline,,,,,
,NADH,,,,,
,ATP,,,,,
,Proline,,,,,
,Sapropterin,,,,,
,Nitric Oxide,,,,,
,Mesoheme,,,,,
,Glycocyamine,,,,,
,"3,4-Dihydro-2h-Pyrrolium-5-Carboxylate",,,,,
,N(5)-[(hydroxyamino)(imino)methyl]-L-ornithine,,,,,
,Flavin adenine dinucleotide,,,,,
,Flavin mononucleotide,,,,,
,Urea,,,,,
,Pyrophosphoric acid,,,,,
,Maleic acid,,,,,
,4-Carboxy-4-Aminobutanal,,,,,
,Histidine,,,,,
,Adenosine phosphate,,,,,
,Methionine,,,,,
,Leucine,,,,,
,Threonine,,,,,
