DrugBankID,Name,Type,Groups,Targets,Pathways,Synonyms
DB17185,Azercabtagene zapreleucel,biotech,investigational,,,"Adult allogeneic CD4+ and CD8+ enriched T cells transduced with an anti-CD19 chimeric antigen receptor (CAR) that is site-specific integrated into the cellular genome. Adult allogeneic CD4+ and CD8+ enriched T cells, gene edited through the electroporati|allogeneic anti-CD19 chimeric antigen receptor (CAR)-T cells|Allogeneic gene-edited CD19-directed CAR T cells/azercabtagene zapreleucel"
DB17186,Carlecortemcel-L,biotech,investigational,,,Allogeneic ex vivo expanded umbilical cord blood cells
DB17187,GTA002,biotech,investigational,,,Allogeneic ex-vivo generated CD56+CD3-natural killer cells from CD34+ umbilical cord blood progenitor cells|Allogeneic UCB-NK cells
DB17188,PBCAR269A,biotech,investigational,,,Allogeneic gene edited BCMA-directed CAR T cells
DB17189,PBCAR20A,biotech,investigational,,,Allogeneic anti-CD20 CAR T cells|Allogeneic gene edited CD20-directed CAR (Chimeric Antigen Receptor) T cells
DB17190,CE-VST01-JC,biotech,investigational,,,Allogeneic JC polyomavirus-specific T-cell therapy|CE-VST-01-JC
DB17191,Altiratinib,small molecule,investigational,,,"1,1-cyclopropanedicarboxamide, n-(4-((2-((cyclopropylcarbonyl)amino)-4-pyridinyl)oxy)-2,5-difluorophenyl)-n'-(4-fluorophenyl)-|N-(4-((2-((cyclopropylcarbonyl)amino)pyridin-4-yl)oxy)-2,5-difluorophenyi)-n-(4- fluorophenyl)cyclopropane-1,1-dicarboxamide"
DB17192,WP-1122,small molecule,investigational,,,"3,6-di-O-acetyl-2-deoxy-D-glucopyranose|an acetic acid diester of 2-deoxy-D-glucose"
DB17193,Ribavirin elaidate,small molecule,investigational,,,"1h-1,2,4-triazole-3-carboxamide, 1-(5-o-((9e)-1-oxo-9-octadecen-1-yl)-.beta.-d-ribofuranosyl)-|Ribavirin-5'-elaidic acid ester"
DB17194,Alnuctamab,biotech,investigational,,,"An asymmetric immunoglobulin G1 (IgG1)-based, B-cell maturation antigen (BCMA) x CD3 T-cell bispecific monoclonal antibody"
DB17195,KITE-222,biotech,investigational,,,An autologous chimeric antigen receptor (CAR) T-cell therapy engineered to express an antibody-derived single-chain variable fragment that recognizes C-type lectin-like molecule-1 (CLL-1)
DB17196,ET140203,biotech,investigational,,,an autologous T-cell immunotherapy (ET140203)|ET 1402L1-CART
DB17197,AMG-900,small molecule,investigational,,,"1-phthalazinamine, n-(4-((3-(2-amino-4-pyrimidinyl)-2-pyridinyl)oxy)phenyl)-4-(4-methyl-2-thienyl)-"
DB17198,ATM-3507,small molecule,investigational,,,"(3-((2,3-dimethyl-1-(3-(4-methylpiperazin-1-yl)propyl)-1h-indol-5-yl)oxy)phenyl)(4-(4-fluorophenethyl)piperazin-1-yl)methanone|Anisina|Methanone, (3-((2,3-dimethyl-1-(3-(4-methyl-1-piperazinyl)propyl)-1h-indol-5-yl)oxy)phenyl)(4-(2-(4-fluorophenyl)ethyl)-1-piperazinyl)-"
