PMCID,Ebola Protein,Interaction,Host Protein
PMC11341029,GP,interact,NPC1
PMC6521077,NP,suppress,RUVBL2
PMC4711667,GP,cleave,Furin
PMC4975481,NP,bind,SPR
PMC5456411,GP,activate,TLR4
PMC5456411,GP,interact,TLR4
PMC8583756,GP,interact,NPC1
PMC6315898,VP40,interact,BAG3
PMC6315898,VP40,alter,BAG3
PMC8421045,VP40,interact,ISG15
PMC8421045,L,interact,IQGAP1
PMC7394885,GP,mediate,UVRAG
PMC7394885,GP,induce,UVRAG
PMC7324188,GP,stimulate,CD14
PMC6272597,L,associate,FCN2
PMC6272597,L,bind,PTX3
PMC6272597,L,bind,CD209
PMC11462427,glycoprotein,interact,LRG1
PMC11723632,GP,bind,SPR
PMC11723632,GP,bind,SPR
PMC5098130,VP40,phosphorylate,Cdk2
PMC5098130,VP40,recruit,TSG101
PMC9591065,GP,inhibit,IFITM3
PMC9591065,glycoprotein,interact,SERINC5
PMC6357148,VP40,interact,Bag3
PMC3285596,VP24,bind,STAT1
PMC3285596,VP24,bind,STAT1
PMC9897805,GP,inhibit,furin
PMC4673539,glycoprotein,interact,LILRB1
PMC7492737,GP,express,furin
PMC7492737,GP,affect,IFITM3
PMC7492737,glycoprotein,affect,IFITM3
PMC8211255,glycoprotein,activate,SIRPA
PMC8211255,glycoprotein,activate,SIRPA
PMC6843631,GP,recognize,TLR4
PMC6843631,glycoprotein,recognize,TLR4
PMC6022868,GP,bind,NPC1
PMC8006325,GP,stimulate,CD4
PMC6036185,GP,bind,TLR4
PMC6036185,GP,express,MICA
PMC6036185,GP,express,MICA
PMC3763195,GP,activate,TF
PMC3763195,NP,activate,TF
PMC3763195,L,activate,TF
PMC3763195,VP24,activate,TF
PMC3763195,VP35,activate,TF
PMC11294727,GP,cleave,TMPRSS2
PMC11294727,GP,cleave,TMPRSS2
PMC2799553,VP40,inhibit,ISG15
PMC2799553,VP40,interact,ISG15
PMC11329927,L,encode,CDR1
PMC10722723,L,block,NPC1
PMC6611598,GP,bind,NPC1
PMC6611598,GP,cleave,furin
PMC8231982,GP,cleave,furin
PMC10791923,GP,induce,CLEC4G
PMC5145241,L,stimulate,CD14
PMC7103988,GP,bind,SPR
PMC7103988,GP,bind,NPC1
PMC4959372,L,activate,Pam
PMC4959372,glycoprotein,express,ABCB1
